Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1565604227000,00:01:f4:75:22:9d,-70,rainbach_net,14.47676889,48.55852284,6,[ESS],,12412
1565605443000,00:02:2d:17:f7:04,-73,funkinternet18,14.42550712,48.33632753,3,[ESS],,52432
1565604430000,00:02:61:79:c2:dd,-77,EasyBox4817,14.49962207,48.53432311,5,[WPA2-PSK-TKIP][WPS][ESS],,102457
1564768023000,00:02:72:55:f6:3e,-69,tarasuk.opnt,14.3163364,48.81572788,5,[WEP][ESS],,22417
970226682000,00:02:72:88:9a:65,-70,Wifi-Ivbre,14.4714146,48.97816862,19,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],,62437
1564768423000,00:02:cf:53:13:9f,-78,klivandovi,14.32064051,48.80739357,12,[WEP][ESS],,62437
1565603712000,00:02:cf:9b:fc:46,-78,MB,14.45303494,48.64889448,3,[WPA-PSK-TKIP][ESS],,62437
1565603709000,00:02:cf:9b:fc:47,-81,VOIP,14.45298533,48.6492981,3,[WEP][ESS],,62437
969723825000,00:02:cf:b3:81:7b,-69,SekanaVhousce,14.31541973,48.81458515,11,[WPA2-PSK-CCMP][ESS],,32422
969723860000,00:02:cf:b3:81:7c,-68,VOIP,14.31506281,48.81427631,11,[WEP][ESS],,32422
1565605812000,00:03:52:90:25:90,-70,labazoW,14.30392865,48.3256754,4,[WPA2-EAP-CCMP][ESS],,12412
1565605812000,00:03:52:90:25:91,-71,GuestWLAN,14.30392865,48.3256754,4,[WPA2-PSK-CCMP][ESS],,12412
1565605812000,00:03:52:90:25:92,-73,Salesianer,14.30392865,48.3256754,4,[WPA2-EAP-CCMP][ESS],,12412
1565605813000,00:03:52:90:25:93,-74,Salesianer-Guest,14.30373683,48.32560189,3,[WPA2-PSK-CCMP][ESS],,12412
1565605807000,00:03:52:90:6e:52,-89,Salesianer,14.30495745,48.3259736,3,[WPA2-EAP-CCMP][ESS],,52432
1565608077000,00:06:c6:48:bc:05,-76,FRONIUS_timedout_240.78215,13.89850349,48.00381582,5,[WPA2-PSK-CCMP][ESS],,12412
1564767447000,00:06:c6:5b:9d:81,-89,MyVolvoOfq3fh,14.31730872,48.8158617,48,[WPA2-PSK-CCMP][ESS],,62437
1565776837000,00:07:d5:01:51:c2,-85,,13.79650807,47.91685392,41,[ESS],,122467
1565608600000,00:0b:05:65:0f:bb,-86,Nagel,13.73112178,47.95667749,16,[WPA2-PSK-CCMP][WPS][ESS],,12412
1565776773000,00:0b:3b:5a:2c:de,-82,devolo,13.79211215,47.91515231,6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,12412
970225391000,00:0b:6b:2a:c7:ba,-83,,14.47348728,48.97480434,131,[ESS],,-5180
1565609308000,00:0b:6b:2a:e0:c0,-72,VAP167903239,13.76554862,47.89978173,3,[ESS],,62437
970226572000,00:0b:6b:df:c7:44,-76,Budweisinter,14.47180181,48.9764447,47,[ESS],,-5180
1565603087000,00:0c:42:2c:7c:67,-88,pckb-Hesik-Zahrada,14.44330244,48.65205925,4,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],,32422
1565601032000,00:0c:42:60:62:ca,-73,Reddwarf 3,14.31265186,48.79987767,8,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],,102457
970226572000,00:0c:42:62:a7:dc,-80,STARNET_WiFi_Free_Dlouha_Zed,14.47180181,48.9764447,47,[ESS],,12412
969785286000,00:0c:42:63:9d:b2,-62,STARNET-Wifi-Free-Chaloupka,14.31270845,48.80550133,9,[ESS],,12412
970226900000,00:0c:42:64:9d:69,-86,Staje_Basilika,14.4706459,48.98066768,46,[WPA-PSK-CCMP+TKIP][WPS][ESS],,32422
970226900000,00:0c:42:6a:0a:cf,-80,MOLCZ_FREE_WIFI,14.4706459,48.98066768,46,[ESS],,72442
1564768349000,00:0c:42:6a:11:2a,-78,MOLCZ FREE WIFI,14.32184338,48.81221135,10,[ESS],,52432
969723455000,00:0c:42:6d:31:34,-68,systBUD,14.32018003,48.81358515,12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,22417
969795064000,00:0c:42:6d:47:3a,-63,STARNET-FreeWiFi-Caffe,14.31473575,48.81026556,32,[ESS],,42427
970226900000,00:0c:42:fc:07:3b,-83,free-hotspot-jdvur,14.4706459,48.98066768,46,[ESS],,12412
1565776916000,00:0c:e3:70:79:b6,-80,,13.79891677,47.91821267,20,[WPA2-PSK-CCMP][ESS],,92452
1565607760000,00:0d:f0:6b:75:00,-78,Mercedes,13.97888463,48.03289028,3,[WPA2-PSK-CCMP][ESS],,12412
969722324000,00:0e:2e:ba:dc:bb,-75,dilna1,14.31828281,48.81058728,17,[WPA2-PSK-CCMP][ESS],,42427
1565776727000,00:0e:8e:28:06:bd,-77,Hotspot,13.78648412,47.91183577,6,[WPA-PSK-CCMP][WPA2-PSK-CCMP-preauth][ESS],,112462
1564766692000,00:0f:3d:ad:2a:94,-69,Pentagon International F.T.S.,14.31790327,48.81234297,24,[WPA2-PSK-TKIP-preauth][ESS],,62437
1565603700000,00:0f:66:e9:b2:72,-74,linksys,14.45286054,48.65050383,4,[ESS],,62437
1565605637000,00:10:02:23:92:3c,-71,MyVolvoTaBz2O,14.34930958,48.3357021,5,[WPA2-PSK-CCMP][ESS],,62437
1565608551000,00:10:02:28:56:f7,-71,MyVolvoTBnzW4,13.74564391,47.96069789,64,[WPA2-PSK-CCMP][ESS],,62437
969791924000,00:10:02:31:61:3f,-79,MyVolvotfU9fw,14.31238363,48.813917,10,[WPA2-PSK-CCMP][ESS],,62437
1565776506000,00:10:02:40:d6:ae,-75,MyVolvoxBPoUF,13.76662589,47.89253816,10,[WPA2-PSK-CCMP][ESS],,62437
970226900000,00:10:02:44:ce:dc,-85,VVOnTheRoad,14.4706459,48.98066768,46,[WPA2-PSK-CCMP][ESS],,62437
1564768565000,00:11:32:75:ad:f8,-72,M&Z,14.30996768,48.80180723,15,[WPA2-PSK-CCMP][ESS],,102457
969722629000,00:11:32:a4:e6:7b,-85,INTERNET,14.31569824,48.81188044,47,[WPA2-PSK-CCMP][ESS],,62437
1565609280000,00:11:6b:62:e8:6b,-80,schweizerhof,13.76856372,47.90241222,3,[WEP][ESS],,112462
1565776584000,00:11:6b:eb:ac:49,-71,schweizerhof_restaurant,13.76853215,47.90231957,10,[WPA2-PSK-CCMP][WPS][ESS],,112462
1565776584000,00:11:6b:ec:1a:6a,-71,schweizerhof,13.76853215,47.90231957,10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,112462
1565604566000,00:11:92:5e:e4:00,-89,hs-speed-schwaighofer,14.51553865,48.51815652,3,[ESS],,122467
970226900000,00:11:f6:ad:78:3e,-69,MiVue-6ad783e,14.4706459,48.98066768,46,[WPA2-PSK-CCMP][WPS][ESS],,12412
1565601186000,00:12:17:7a:c6:8a,-61,lukas1,14.29712294,48.782815,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,12412
1565776757000,00:13:10:30:05:61,-81,uyct,13.78998058,47.91427484,4,[WPA2-PSK-CCMP][ESS],,62437
1565608199000,00:13:1e:3c:75:ca,-85,My BMW Hotspot 0342,13.85217666,48.00451654,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565614041000,00:13:1e:42:a3:d4,-81,My BMW Hotspot 3091,13.76472745,47.89856385,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565776755000,00:13:1e:43:3c:01,-74,My BMW Hotspot 5261,13.78967403,47.91416643,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565608544000,00:13:1e:59:c7:7b,-86,My BMW Hotspot 8334,13.74791266,47.96159642,61,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565610285000,00:13:1e:6e:25:19,-81,My BMW Hotspot 8639,13.76482653,47.89856922,10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565608303000,00:13:1e:6f:b2:7f,-83,My BMW Hotspot 0208,13.81596874,48.00251167,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565613061000,00:13:1e:71:2a:25,-81,My BMW Hotspot 2281,13.76475888,47.89856855,10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565611806000,00:13:1e:93:28:24,-78,My BMW Hotspot 7054,13.7648207,47.8985732,12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565608320000,00:13:1e:a3:f4:07,-80,My BMW Hotspot 7261,13.80946005,48.00178583,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565607092000,00:13:1e:ae:7c:5d,-85,My BMW Hotspot 8625,14.14317324,48.14235415,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565607275000,00:13:1e:fa:ef:f2,-86,My BMW Hotspot 8266,14.08510765,48.10113282,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1565605515000,00:13:92:20:2c:f0,-88,,14.39603049,48.33803628,4,[WPA-PSK-TKIP][ESS],,62437
1565776775000,00:14:78:8f:91:66,-68,bc-net,13.79232659,47.91523165,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],,62437
1565609175000,00:14:d1:a8:7e:f8,-83,asamer-traunseenet,13.7774778,47.91334665,7,[WPA-PSK-TKIP][WPS][ESS],,62437
969721381000,00:14:d1:cc:62:1c,-47,Vecerka.opnt,14.32536734,48.81001566,145,[WPA2-PSK-CCMP][ESS],,12412
1565609084000,00:15:2b:93:3f:20,-83,FREISURFEN@SEP,13.78697442,47.92601211,3,[ESS],,12412
1565609097000,00:15:2b:93:3f:23,-88,,13.7848561,47.92427127,3,[WPA-EAP-TKIP][ESS],,12412
1565609064000,00:15:2b:93:3f:24,-87,,13.78843287,47.92908195,4,[WPA-PSK-TKIP][ESS],,12412
1565609097000,00:15:2b:93:3f:25,-88,,13.7848561,47.92427127,3,[WPA-PSK-TKIP][ESS],,12412
1565609087000,00:15:2b:93:46:46,-83,,13.7866041,47.9256172,3,[WEP][ESS],,12412
1565609074000,00:15:2b:93:47:b0,-86,FREISURFEN@SEP,13.78812712,47.92756354,4,[ESS],,112462
1565609087000,00:15:2b:93:48:10,-78,FREISURFEN@SEP,13.7866041,47.9256172,3,[ESS],,62437
1565609090000,00:15:2b:93:48:11,-80,,13.78616899,47.92521151,4,[WPA-PSK-TKIP][ESS],,62437
1565609090000,00:15:2b:93:48:12,-81,,13.78616899,47.92521151,4,[ESS],,62437
1565609102000,00:15:2b:93:48:13,-86,,13.78395464,47.92359378,4,[WPA-EAP-TKIP][ESS],,62437
1565609089000,00:15:2b:93:48:14,-82,,13.78632759,47.92534829,4,[WPA-PSK-TKIP][ESS],,62437
1565609087000,00:15:2b:93:48:15,-74,,13.7866041,47.9256172,3,[WPA-PSK-TKIP][ESS],,62437
1565609087000,00:15:2b:93:48:16,-77,,13.7866041,47.9256172,3,[WPA--WEP104][ESS],,62437
1565609095000,00:15:2b:93:4d:50,-79,FREISURFEN@SEP,13.78526452,47.92452525,3,[ESS],,112462
1565609087000,00:15:2b:93:4d:51,-82,,13.7866041,47.9256172,3,[WPA-PSK-TKIP][ESS],,112462
1565609089000,00:15:2b:93:4d:52,-83,,13.78632759,47.92534829,4,[ESS],,112462
1565609098000,00:15:2b:93:4d:53,-83,,13.78465503,47.92414365,3,[WPA-EAP-TKIP][ESS],,112462
1565609098000,00:15:2b:93:4d:54,-82,,13.78465503,47.92414365,3,[WPA-PSK-TKIP][ESS],,112462
1565609098000,00:15:2b:93:4d:55,-82,,13.78465503,47.92414365,3,[WPA-PSK-TKIP][ESS],,112462
1565609087000,00:15:2b:93:4d:56,-81,,13.7866041,47.9256172,3,[WPA--WEP104][ESS],,112462
1565609071000,00:15:2b:93:4f:50,-84,FREISURFEN@SEP,13.78834264,47.92803252,3,[ESS],,112462
1565609068000,00:15:2b:93:4f:51,-83,,13.78844245,47.92850482,4,[WPA-PSK-TKIP][ESS],,112462
1565609068000,00:15:2b:93:4f:52,-83,,13.78844245,47.92850482,4,[ESS],,112462
1565609067000,00:15:2b:93:4f:53,-84,,13.78845779,47.92865681,4,[WPA-EAP-TKIP][ESS],,112462
1565609067000,00:15:2b:93:4f:54,-86,,13.78845779,47.92865681,4,[WPA-PSK-TKIP][ESS],,112462
