Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1565374678000,00:02:72:61:0e:55,-84,veranda,14.32245919,48.81310634,4,[WEP][ESS],,112462
1564504636000,00:02:72:8a:3b:7a,-83,PCiNET_08_Denny,14.42642995,48.98787208,3,[WPA-PSK-TKIP][ESS],,12412
1564503808000,00:0b:6b:2a:f9:22,-81,TSNET.Chlajna,14.43689363,48.98623047,4,[ESS],,-5600
1564570387000,00:0b:6b:2f:f8:3d,-89,BOREK,14.47762047,48.99355238,10,[ESS],,-5180
1584895230022,00:0b:6b:86:65:69,-76,reddwarf 2,14.30641045,48.79647254,16,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],,-5700
1564570219000,00:0b:6b:df:62:c3,-82,BEZDREV17s1,14.47208129,48.98035548,10,[ESS],,-5260
1564502763000,00:0b:82:a4:ab:3d,-86,DD Máj ,14.44263721,48.9825376,6,[WPA2-PSK-CCMP][ESS],,12412
1564570282000,00:0b:82:a5:cf:81,-82,HotelCBRoyal,14.47292477,48.98767921,10,[WPA2-PSK-CCMP+TKIP][ESS],,82447
1564570282000,00:0b:82:a5:d0:49,-87,HotelCBRoyal,14.47292477,48.98767921,10,[WPA2-PSK-CCMP+TKIP][ESS],,112462
1564502763000,00:0b:82:a5:fa:bd,-91,DD Máj ,14.44263721,48.9825376,6,[WPA2-PSK-CCMP][ESS],,12412
1564502763000,00:0b:82:a8:4a:0a,-87,DD Máj ,14.44263721,48.9825376,6,[WPA2-PSK-CCMP][ESS],,-5220
1564502763000,00:0b:82:a8:6a:a1,-84,DD Máj ,14.44263721,48.9825376,6,[WPA2-PSK-CCMP][ESS],,62437
1564504305000,00:0c:42:0c:63:0f,-83,BEZDREVZavS1,14.42973108,48.98761986,4,[ESS],,-5300
1564504538000,00:0c:42:0c:63:20,-87,BEZDREVZavS3,14.42626651,48.98883892,3,[ESS],,-5620
1564504305000,00:0c:42:0c:c9:3e,-85,ZKCnet_SZ,14.42973108,48.98761986,4,[WEP][ESS],,-5200
1564504393000,00:0c:42:0c:d2:32,-81,ZKCnet_777025963,14.42837743,48.98808776,6,[WEP][ESS],,92452
1564570233000,00:0c:42:18:7e:1e,-73,STARNET-21-281-02,14.4716233,48.9823261,10,[ESS],,-5500
1564570027000,00:0c:42:26:77:63,-91,CZFreeCB_Zizkova1a,14.47879185,48.97465468,8,[ESS],,42427
1564570376000,00:0c:42:26:ff:e8,-89,Huawei2.4G,14.47649545,48.99216966,11,[WPA2-PSK-CCMP][WPS][ESS],,132472
1564569999000,00:0c:42:2b:f3:09,-88,STARNET-275-121-31,14.47929144,48.97276366,7,[ESS],,-5680
1564234328000,00:0c:42:60:62:ca,-90,Reddwarf 3,14.31123937,48.80111575,23,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],,102457
1564570125000,00:0c:42:60:73:80,-91,wifirp-CB,14.47766864,48.97751344,14,[WPA2-PSK-CCMP][WPS][ESS],,112462
1564570509000,00:0c:42:60:84:de,-78,ZVaS,14.4794723,49.00307511,10,[WPA2-PSK-TKIP][WPS][ESS],,72442
1564570027000,00:0c:42:63:39:53,-88,STARNET_WiFi_Free_Doner_Kebab,14.47879185,48.97465468,8,[ESS],,22417
1564231844000,00:0c:42:63:9d:b2,-62,STARNET-Wifi-Free-Chaloupka,14.312195,48.80586538,4,[ESS],,12412
1564570435000,00:0c:42:65:23:1b,-89,WIP Reklama Budejovice,14.48278515,49.00036656,13,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],,12412
1564504222000,00:0c:42:65:b1:5e,-87,KUBAtech s.r.o.,14.43126896,48.98786849,3,[WPA2-PSK-CCMP][WPS][ESS],,22417
1564570529000,00:0c:42:67:b7:e9,-90,STARNET_FREE_U_Korbelu,14.47642846,49.00337802,12,[ESS],,92452
1565374565000,00:0c:42:6a:11:2a,-76,MOLCZ FREE WIFI,14.32155667,48.81197385,3,[ESS],,52432
1564570376000,00:0c:42:6a:cf:bf,-89,Huawei-sklad,14.47649545,48.99216966,11,[WPA2-PSK-CCMP][WPS][ESS],,42427
1565374574000,00:0c:42:6d:31:34,-87,syst,14.32156694,48.81197467,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,22417
1564504456000,00:0c:42:c8:13:2b,-83,POWER6,14.42723361,48.98837953,3,[WPA2-PSK-CCMP][WPS][ESS],,52432
1564503910000,00:0c:42:da:c1:4b,-81,MikroTik,14.43563562,48.98665951,3,[ESS],,-5180
1565374356000,00:0e:2e:ba:dc:bb,-86,dilna1,14.32029499,48.80954044,3,[WPA2-PSK-CCMP][ESS],,42427
1564233014000,00:11:32:75:ad:f8,-78,M&Z,14.31007767,48.80157171,5,[WPA2-PSK-CCMP][ESS],,102457
1564570188000,00:11:50:32:d8:5b,-86,csobp_zasedacka,14.47434376,48.97841827,9,[WPA-PSK-TKIP][ESS],,112462
1564503357000,00:11:6b:25:96:40,-85,ONE,14.44134327,48.9827341,4,[WEP][ESS],,112462
1564570484000,00:13:1e:5c:67:c9,-89,My BMW Hotspot 7025,14.48335082,49.00252328,11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1564570369000,00:13:33:b3:29:48,-87,11n_AP_Router,14.47569954,48.99122698,10,[WPS][ESS],,52432
